company,title,job_title,job_summary,city,state,state1,region
Thunder,Data Scientist,Data Scientist / Data Engineer,"Data Scientist / Data Engineer (Bellevue, WA). Work with external customers on challenging data analysis problems.",Bellevue,WA, Washington,West
Grab Taxi,Data Engineer,"Software Engineer, Data Science (Trust & Safety)","You will get to solve interesting problems by collaborating with other Engineers, UI Designers, and Data teams. Get to know our Team: Get to know the Role:",Bellevue,WA, Washington,West
New Engen,Data Engineer,Data Engineer,"Experience implementing data solutions including data modeling, data warehousing, ETL, and analytics. Reliable data infrastructure for a high-growth, data…",Seattle,WA, Washington,West
M Consulting Group,Data Engineer,ETL Developer/Data Engineer - AWS and Informatica,Not providing sponsorship for this job. This Job Is Ideal for Someone Who Is: Dependable -- more reliable than spontaneous.,Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Scientist,Data Scientist,"The PeopleInsight team is a collaborative group of Business Analysts, Business Intelligence Engineers, Data Engineers, Data Scientists, Product Managers, and…",Seattle,WA, Washington,West
doxo,Data Engineer,Data Engineer,"We’re a rapidly growing startup looking for a high lead energy Data Engineer with experience building scalable data collection, storage, and analysis systems.",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Renewable Data Engineer,"Collaborating with our data scientists, the Data Engineer will turn this data into valuable business information. Masters or MBA in related field.",Seattle,WA, Washington,West
LendingTree,Data Engineer,Data Engineer II,"Implement large scale, high-performance data analytics, and data integration platforms. Collaborate effectively with Engineers, Data Scientists, and Product…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,"Data Engineer, Internal Benchmarking","Design data schema and operate internal data warehouses and SQL/NoSQL database systems. Design, implement, automate, and monitor data pipelines.",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,"Data Engineer, Amazon Devices","5+ years of demonstrated quantitative and qualitative data experience with data modeling, ETL development. We are seeking a Data Engineer with strong analytical…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,"Data Engineer, PerfectMile","Experience with large scale data processing, data structure optimization and scalability of algorithms a plus. Hive, Spark, Hadoop, SQL on Big Data, Redshift.",Seattle,WA, Washington,West
Logic20/20,Data Engineer,CORE - Data Engineer,"Perform exploratory data analysis, cleanses, massages, and aggregates data. Lead Engineer is responsible for building a large-scale data pipeline in cloud…",Seattle,WA, Washington,West
"Discovery Communications, LLC",Data Engineer,Senior Data Engineer,The Senior Data Engineer will be an experienced engineer and leader on the Data Science and Analytics team. Ensure data integrity and accuracy across all owned…,Bellevue,WA, Washington,West
"Akvelon, Inc.",Data Scientist,Senior Data Scientist (AP1888),"Build and maintain data pipelines. The Data Scientist works on a team using statistical, mathematical, and predictive data models to bring insights and answers…",Redmond,WA, Washington,West
Allstate,Data Engineer,Senior Data Analytics Engineer,"Execute data exploration, data engineering, testing and implementation. Ability to extract data from various data sources. And you’ll have fun doing it.",Bothell,WA, Washington,West
"Wind Talker Innovations, Inc.",Data Engineer,Principal Data Analysis Engineer,"Member of the data analysis core team. The Data Analysis Engineer will guide and partner closely with product managers, network, application, and mobile…",Tacoma,WA, Washington,West
Avalara,Data Engineer,"Senior Data Engineer, BI and Analytics (5905)","Practice/Implement data security, encryption and masking policies across various data sets and data sources. The Data Engineer within the BI and Analytics team…",Seattle,WA, Washington,West
Apple,Data Engineer,Siri - Big Data Engineer,As a Data Engineer your responsibility is to support the Data Scientists and ML/NLP Engineers in the team to generate good quality data that is key to drive the…,Seattle,WA, Washington,West
Advaiya,Data Engineer,Big Data Engineer,Handling big data across multiple data sources. Data manipulation of large amounts of unstructured data. Experience with Azure Data Services:,Seattle,WA, Washington,West
Terex,Data Analyst,Data Science (Telematics) Intern,Desire to work with IoT data and product engineers in order to develop end-to-end data science solutions. Develop custom data models and algorithms to apply to…,Redmond,WA, Washington,West
ProKarma,Data Analyst,Data Analyst,Hands-on ability to manipulate data and build analytical data sets. Collaborate with data engineers to optimize the data platform to product the analysis…,Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Data Engineer - Alexa,"Specifically, we are looking for an outstanding Data Engineer who is looking to work in a new space to help define how we use data to understand customer…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,ES Tech Data Engineer,Amazon's Employee Services Technology (ES Tech) team is seeking an outstanding Senior Data Engineer to join our BI team to build out the data platform with all…,Seattle,WA, Washington,West
SADA,Data Engineer,Data Engineer,"Google Professional Data Engineer Certified. As a Data Engineer at SADA, you will work collaboratively with architects and other engineers to recommend,…",Seattle,WA, Washington,West
Hotwire,Data Scientist,Data Scientist II (Seattle),"Prior analytics and data mining experience, focusing on segmentation strategies and predictive modeling. You work closely with Product Managers and Engineers to…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,"Data Engineer, Customer Delivery Excellence, Transportation Execution","As a Data Engineer on the CDE team, you will be responsible for: Build and deliver high quality data architecture to support business intelligence engineer and…",Bellevue,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,"Data Engineer, Transportation Execution",As a Data Engineer you'll shape the data handling strategy; Leverage strong data extraction and transformation skills to engineer reporting mechanisms;,Bellevue,WA, Washington,West
Dsquare,Data Engineer,Sr. Data Engineer,"Familiarity with Clickstream data sets and analytics is a plus. Capable of investigating, familiarizing and mastering new data sets quickly.",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Data Engineer II - Talent Products,"Industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of…",Seattle,WA, Washington,West
Accenture,Data Engineer,Azure Data Engineer,"You will have an opportunity to work in roles such as Data Scientist, Data Engineer, or Chief Data Officer covering all aspects of Data including Data…",Seattle,WA, Washington,West
Fred Hutchinson Cancer Research Center,Data Analyst,Data Analyst - Application Support Engineer II/III,Providing research application of our clinical data integrated with external data sources (Amalga) on behalf of CRD’s scientific mission.,Seattle,WA, Washington,West
Oracle,Data Scientist,Data Scientist,"Good foundation understanding of data mining, machine learning and data sciences. We are seeking a driven, and experienced Senior Data Science with good…",Seattle,WA, Washington,West
Google,Data Scientist,"Data Scientist Intern, PhD, 2020","Work with large, complex data sets. Work closely with engineers to identify opportunities for, design, and assess improvements to Google products.",Seattle,WA, Washington,West
Convoy,Data Engineer,Senior Data Engineer,Mentoring and developing other Data Engineers and Data Analysts. Convoy’s Data Science team is looking for a talented Data Engineer with a strong background in…,Seattle,WA, Washington,West
Amazon Digital Services LLC,Data Engineer,Data Engineer,We are looking for a talented Data Engineer to join our Global Cross Channel and Cross Category (XCM) Insights team to focus on building advanced data pipelines…,Seattle,WA, Washington,West
Avalara,Data Engineer,"Data Engineer, Sales & Marketing",Work cross functionally with our Data Services and Data Science teams to architect and implement optimized data pipelines.,Seattle,WA, Washington,West
Blueprint Technologies,Data Engineer,Data Engineer,At least 5-years of experience as a software development or data engineer. Blueprint is looking for Data Engineer to join us as we build cutting-edge technology…,Bellevue,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Sr Data Engineer,We are looking for an exceptional Data Engineer who will own building and maintaining Alexa Skill’s data model and architecture.,Seattle,WA, Washington,West
Axon,Data Engineer,Senior Data Engineer,You facilitate cross-team collaboration among engineers and contribute to the broader community of senior engineers. Our mission is to protect life.,Seattle,WA, Washington,West
Talking Rain Beverage Company,Data Scientist,Data Scientist,Big Data and streaming analytics. Exploratory data analysis (EDA) & cleansing. Develop custom data models and algorithms to generate predictive insights.,Issaquah,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Data Engineer – Global Marketing,This Data Engineer will help pinpoint how Amazon can continue to delight customers. The Data and Insights team does three things.,Seattle,WA, Washington,West
Neal Analytics,Data Scientist,Data Scientist,"Role involves working closely with data scientists and software engineers in development, testing and deployment of a large statistical system for production…",Redmond,WA, Washington,West
Navigating Cancer,Data Engineer,Healthcare Data Engineer,"As our Healthcare Data Engineer, you will be responsible for architecting & implementing complex big data projects with a focus on collecting, parsing, managing…",Seattle,WA, Washington,West
Blink Health,Data Engineer,Senior Data Engineer,"As the senior software engineer for data, you will be a thought leader within the data engineering team that is designing and building our next generation of…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Risk Data Engineer,"Demonstrated strength in data modeling, ETL development, data warehousing, and data mining. Identify, verify, retrieve, and analyze data using data RedShift,…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,"Data Engineer, Alexa Smart Home","Specifically, we are looking for an outstanding Data Engineer who is looking to work in a new space to help define how we use multi-modal data (voice, mobile,…",Bellevue,WA, Washington,West
Avani Technology Solutions Inc,Data Engineer,Data Engineer with testing,"3 + years’ experience with 1 or more Databases like Oracle,SQL Server ( basic SQL Concepts,writing simple to medium PL/SQL queries a must) • 2 + yrs Experience…",Seattle,WA, Washington,West
Zoom Information Inc.,Data Analyst,Data Analyst,"Work closely with a variety of teams including Software Engineers, Product Managers and Data Researchers. Diagnose issues in data quality, identify gaps and…",Vancouver,WA, Washington,West
"IMDb.com, Inc.",Data Engineer,Sr Data Engineer - IMDb,"Demonstrated strength in data modeling, ETL development, and Data warehousing. We are looking for a highly skilled, Senior Data Engineer to build and expand…",Seattle,WA, Washington,West
Avalara,Data Engineer,"Data Engineer, Sales & Marketing",Work cross functionally with our Data Services and Data Science teams to architect and implement optimized data pipelines.,Seattle,WA, Washington,West
XLFN Consulting,Data Scientist,"Data Scientist / BI Developer - Python, R, SAS, Power BI (Remote)",Experience with Data Factory and Data Bricks. We are looking for a data scientist and / or data engineer with strong skills in integration of complex and…,Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,"Data Engineer I, Amazon Payment Products","As a Data Engineer you will be working in one of the world''s largest and most complex data warehouse environments. Data modeling, ETL and reporting.",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Data Engineer-CS Operational Excellence,"Improve upon the data ingestion models, ETLs, and alarming to maintain data integrity and data availability. Knowledge of data management fundamentals and data…",Seattle,WA, Washington,West
Businessolver,Data Engineer,Cloud Data Engineer,"Experience with complex/large data sets (Big Data). The Cloud Data Engineer (CDE) will be responsible for architecting, developing, implementing, and operating…",Seattle,WA, Washington,West
Textio,Data Scientist,"Data Science Manager, Analytics","Leading feature work in multi-functional squads with product managers, engineers, fellow data scientists, and colleagues across the business.",Seattle,WA, Washington,West
TenPoint7,Data Engineer,Data Engineer,"Data ingestion, data integration, data modeling, data processing and data visualization. Analytical – Understand data and all its potential.",Seattle,WA, Washington,West
OfferUp,Data Engineer,Senior Data Engineer,"Experience building data pipelines and real-time data streams. As the Data Engineering team, we build and operate OfferUp''s data platform for streaming and…",Bellevue,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,"Data Engineer, Global Specialty Fulfillment",We are seeking Data Engineer. Experience developing tools for data engineers and machine learning. Knowledge of data management fundamentals and data storage…,Seattle,WA, Washington,West
Zulily,Data Scientist,Data Scientst,Conducts exploratory data analysis and prepares visualizations summarizing key features of the data. You’ll use reproducible research techniques to create…,Seattle,WA, Washington,West
Coupang,Data Engineer,Senior Data Engineer,"4+ years of experience in data integration applications, data processing applications, data warehouse, business intelligence, SQL.",Seattle,WA, Washington,West
Amazon Services LLC,Data Engineer,Senior Data Engineer,We are looking for Data Engineers who has a passion for data and a passion for supplying their clients with that data. Excellent knowledge of SQL and Unix.,Seattle,WA, Washington,West
Navigating Cancer,Data Engineer,"Senior Data Engineer, Health Technology","Participate in discussions with business and technical teams about consolidation of business data into data warehouses, data marts, data lakes, and other data…",Seattle,WA, Washington,West
Zillow Group,Data Engineer,Senior Data Engineer- Enterprise Data Platform,"As a Data Engineer, you should be an expert with data warehousing components (e.g. Data integrity, data security, analysis, validation, and documentation.",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,"Data Engineer, Affiliate Marketing","4+ years of industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track…",Seattle,WA, Washington,West
"Meridian Technologies, Inc",Data Engineer,Big Data Engineer,"We are looking for strong Big Data Engineers and Data Analysts. Are passionate about data, technology, & creative innovation.",Seattle,WA, Washington,West
Avalara,Data Engineer,"Senior Data Engineer, BI and Analytics","Practice/Implement data security, encryption and masking policies across various data sets and data sources. The Data Engineer within the BI and Analytics team…",Seattle,WA, Washington,West
The Climate Corporation,Data Scientist,Data Scientist - Deep Learning,"The Data and Analytics team is focused on creating competitive advantage for The Climate Corporation and our customers through novel data infrastructure,…",Seattle,WA, Washington,West
Accenture,Data Engineer,Data Engineer Consultant,"We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI. A great day for us?",Seattle,WA, Washington,West
Blue Origin,Data Engineer,Systems Data Engineer - New Glenn,Perform data mining for valued projects. Technical expertise in data visualization tools (e.g. You will work across the New Glenn program with teams of…,Kent,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Legal Data Engineer,"Amazon Legal is looking for an outstanding, analytical, and technically skilled Data Engineer to join our Legal Technology team.",Seattle,WA, Washington,West
Beyondsoft Consulting,Data Engineer,Sr. Data Engineer,"Production support, job scheduling/monitoring, ETL data quality, data freshness reporting. Loading from disparate data sets by leveraging various big data…",Seattle,WA, Washington,West
Deloitte,Data Engineer,Data Engineer- Python,"Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Scientist,"Data Scientist, Advertising","In cases where questions cannot be answered with available data, work with engineers to produce the required data. Depth and breadth in quantitative knowledge.",Seattle,WA, Washington,West
Outreach,Data Analyst,Data Science Research Internship,3+ years experience in Data Science. Data is at the core of Outreach's strategy. The mission of the Data Science team is to accelerate the success of our…,Seattle,WA, Washington,West
Microsoft,Data Scientist,Principal Engineer - Data Scientist,"Azure, ML, AI, big data. Leverage machine learning and big data to facilitate meeting the goals listed above. Identity engineering employees have deep technical…",Redmond,WA, Washington,West
Slalom Consulting,Data Engineer,Cloud Data Engineer,"The Data & Analytics practice at Slalom is a full-service data practice with competencies across information strategy, modern data architecture, data…",Seattle,WA, Washington,West
Convoy,Data Scientist,Data Scientist - Supply Operations,Experience with Tableau or other similar data visualization tool. The Data Science team is at the core of Convoy’s platform. You have the following experience:,Seattle,WA, Washington,West
Facebook,Data Scientist,"Data Scientist, Analytics - Ads Manager","Work with data engineers to architect data and modeling pipelines. Plan, and be able to conduct as needed, end-to-end analyses, from data requirement gathering,…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Data Engineer - AWS,We are looking for an experienced data engineer to support our service team: Experience in using SQL to analyze data in a database or data warehouse and a major…,Seattle,WA, Washington,West
Likewise,Data Engineer,Big Data Engineer,Build data process pipelines for new and existing data sources. Work closely with the Data Science team to complete all data needs. Azure experience is a plus.,Bellevue,WA, Washington,West
Dropbox,Data Engineer,Lead Data Engineer,"Build data expertise and own data quality for various data flows. The Data Engineer is responsible for designing and developing robust, scalable solutions for…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Data Engineer II - Payment Acceptance & Experience,Data engineering fundamentals in data architecture. Data engineering fundamentals in data set design. The PAE Data team is a cross functional team of data…,Seattle,WA, Washington,West
Expedia Group,Data Scientist,Data Scientist I,"You understand the concepts and steps involved when working real-world large data sets, from domain-specific problem understanding, data preparation, data…",Bellevue,WA, Washington,West
Symetra,Data Engineer,Sr Data Engineer,"Lead data governance and guide all data schema/configuration changes. A Data Professional Certification (e.g., ICCP Certified Data Professional, BI Professional…",Bellevue,WA, Washington,West
Novo Nordisk,Data Scientist,Data Scientist II Job,The Data Scientist reports to the Head of Digital Therapeutics Research and Data Science. Actively mentor more junior data scientists.,Seattle,WA, Washington,West
Prokarma Inc.,Data Analyst,Data Analyst,Hands-on ability to manipulate data and build analytical data sets. Collaborate with data engineers to optimize the data platform to product the analysis…,Seattle,WA, Washington,West
OneAPPS,Data Engineer,Sr. Big Data Engineer,"Data Warehousing Experience with Oracle, Redshift, Teradata, etc. At OneAPPS, we are looking for Sr. On contract for one of our client projects.",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Scientist,Sr. Data Scientist,"The PeopleInsight team is a collaborative group of Business Analysts, Business Intelligence Engineers, Data Engineers, Data Scientists, Product Managers, and…",Seattle,WA, Washington,West
Apptentive,Data Engineer,Software Engineer- Data Analytics Platform,Software Engineer- Data Analytics Platform. We are looking for a platform engineer to help build out a petabyte-scale data processing system and integrate that…,Seattle,WA, Washington,West
Expedia Group,Data Engineer,Software Dev Engineer II - Data Science,Develop custom data models and algorithms to apply to data sets. Develop end-to-end ML data pipelines. Work with large volumes of data;,Seattle,WA, Washington,West
QVC,Data Scientist,Data Scientist,Conducts exploratory data analysis and prepares visualizations summarizing key features of the data. You’ll use reproducible research techniques to create…,Seattle,WA, Washington,West
KPMG,Data Scientist,"Manager, Data Scientist, Natural Language Processing (NLP)","Lead the ETL process to ingest structured data and annotation processes to enrich unstructured data leveraging a variety of data sources (social media, news,…",Seattle,WA, Washington,West
Microsoft,Data Scientist,"Data Scientist II, Healthcare AI","In your role as Data Scientist II, you will work on real-world problems with customers to create new meaning out of patient data.",Redmond,WA, Washington,West
Pacific Northwest National Laboratory,Data Scientist,Data Scientist,"The Advanced Computing, Mathematics, and Data (ACMD) Division at the Pacific Northwest National Laboratory is seeking for a Data Scientist for its Data Sciences…",Richland,WA, Washington,West
Amazon Services LLC,Data Engineer,"Manager III, Data Engineer","Experience mentoring and managing other Data Engineers or Software Development Engineers, ensuring data engineering best practices are being followed.",Seattle,WA, Washington,West
Amazon Digital Services LLC,Data Scientist,Data Scientist,"You will also work with a team of economists, scientists, and software engineers to automate and scale the analysis and dissemination of big data, and to make…",Seattle,WA, Washington,West
Tableau,Data Engineer,Senior Data Engineer – Marketing,"The Senior Data Engineer role will help solve challenging data integration problems by participating in development, architecture and operations work, related…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Sr. Big Data Engineer,"7+ years of experience as a Data Engineer, BI Engineer, Business/Financial Analyst or Systems Analyst in a company with large, complex data sources.",Seattle,WA, Washington,West
Centrica,Data Scientist,Software Engineer - Data Scientist,"You will collaborate with a high-caliber global team of software engineers, data scientists and researchers to share knowledge and successfully integrate…",Seattle,WA, Washington,West
"MobiledgeX, Inc.",Data Analyst,Cloud Business Analyst/Strategist,"Be able to work with engineers to shape requirements and project their market impact. US Based - preferred Bay Area, Seattle. Who we are looking for:",Seattle,WA, Washington,West
Kavout Corporation,Data Engineer,Senior Data Engineer,"You are knowledgeable about data modeling, data access, data analysis, and data storage techniques. Build large-scale batch and real-time data pipelines with…",Seattle,WA, Washington,West
Microsoft,Data Scientist,Principal Data Scientist,"Collaborate with other data scientists, domain experts and engineers to set and navigate strategic research directions. What if we could “read” this story?",Redmond,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,Data Engineer II (L5) - Business Data Technologies,"Industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of…",Seattle,WA, Washington,West
"Amazon.com Services, Inc.",Data Engineer,"Sr. Data Engineer, Ads Partner Network","Demonstrated strength in data modeling, ETL development, and Data warehousing. Experience providing technical leadership and mentoring other engineers for best…",Seattle,WA, Washington,West
"Discovery Communications, LLC",Data Engineer,Data Engineer,This engineer will ensure the ongoing performance of reliable and efficient data systems using AWS and other data technologies.,Bellevue,WA, Washington,West
"Discovery Communications, LLC",Data Analyst,Business Analyst,"Work with data engineering teams to identify scalable, accessible data sources for analysis and operational use. Experience with Adobe Analytics is a plus.",Bellevue,WA, Washington,West
GoDaddy,Data Engineer,Principal Software Development Engineer - Data Engineering,"As a Principal Software Development Engineer, you will help to design and build the core pieces on which our data pipelines will run.",Kirkland,WA, Washington,West
Blueprint Technologies,Data Engineer,Senior Data Engineer,"Blueprint is looking for Senior Data Engineer to join us to join our team in Bellevue, WA!! We have a special focus in cloud and infrastructure, data platform…",Bellevue,WA, Washington,West
"Amazon.com Services, Inc.",Data Scientist,Data Scientist Compensation,"Partner with data engineering teams to improve data assets, quality, metrics and insights. Analyze and validate data to ensure high data quality and reliable…",Seattle,WA, Washington,West
Thunder,Data Scientist,Data Scientist / Data Engineer,"Strong understanding of machine learning, recommendation systems, predictive analytics, and multivariate analysis.",Bellevue,WA, Washington,West
Advantage Resourcing,Data Analyst,Data Analyst / Business Analyst,Data Analyst / Business Analyst - 555262. Design data visualizations and dashboards to effectively communicate results. 6 months with possible extensions.,Kirkland,WA, Washington,West
"EtiVenture, Inc.",Data Engineer,Senior Data Engineer,Qualifications of Senior Data Engineer: Requirements of Senior Data Engineer: Preferred Experience of Senior Data Engineer. Work references will be requested.,Seattle,WA, Washington,West
People tech group,Data Engineer,Jr. Big Data Engineer,"Data Concepts (ETL, near-/real-time streaming, data structures, metadata and workflow management). Big Data (Hadoop, Hive, Map-Reduce).",Redmond,WA, Washington,West
Nintendo of America Inc.,Data Engineer,CONTRACT - Data Engineer (NTD),"Experience with ETL data workflows. Experience with real-time data processing. Architect, prototype, and productize big data processing pipelines for analytics…",Redmond,WA, Washington,West
Liberty Mutual Insurance,Data Engineer,Associate / Data Engineer,"The hiring manager is open to an Associate Data Engineer / Data Engineer. As an Associate Data Engineer / Data Engineer, you will work collaboratively on a…",Seattle,WA, Washington,West
Healthentic Inc.,Data Engineer,Healthcare Data Engineer,"At least 2 years of experience working with healthcare data and data processing, specifically dental, medical, pharmacy eligibility and claims data.",Seattle,WA, Washington,West
Seen by Indeed,Data Engineer,Data Engineer,Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.,Seattle,WA, Washington,West
Egencia,Data Engineer,"Manager, Data Engineering","Lead and develop your team of Data Engineers, BI Developers, Software Engineers. 1+ years in developing AWS data engineering solutions.",Bellevue,WA, Washington,West
Nintendo of America Inc.,Data Engineer,Senior Data Engineer,Detailed design and build of the enterprise data warehouse and data marts from inception through production support.,Redmond,WA, Washington,West
Experfy,Data Engineer,"Big Data Engineer - Deloitte (Remote, Freelance/Contract)","4 years of hands-on experience as a Data Engineer in a Big Data environment (Spark, Hive, HDFS, Sqoop). Strong SQL knowledge and data analysis skills for data…",Seattle,WA, Washington,West
Liberty Mutual Insurance,Data Engineer,Senior Data Engineer,"Improve speed to market by focusing on current Agency & Strategic Partners data needs as well as building out the long-term strategic data solutions using AWS,…",Seattle,WA, Washington,West
"Transaction Network Services, Inc",Data Engineer,Data Engineer,"The Splunk Data Engineer is responsible for supporting the efforts of the data science team and it’s overall mission of providing a platform for the ingestion,…",Seattle,WA, Washington,West
"Akvelon, Inc.",Data Engineer,Big Data Engineer (MS1892),"Big Data Engineer/ Data Scientist *. Big data analysis – big data tech – Hadoop, databricks, etc. Solid data base background preferably SQL.",Redmond,WA, Washington,West
Nintendo of America Inc.,Data Engineer,CONTRACT - Data Engineer,"2+ years supporting data warehousing and analytics projects, including using AWS technologies— Redshift, S3, EC2, etc.—and other big data technologies.",Redmond,WA, Washington,West
PACCAR Technical Center,Data Engineer,Data Engineer,"5+ years in relevant experience as data engineer, software engineer, business intelligence engineer, or equivalent developing DB schemas, creating ETLs, and…",Mount Vernon,WA, Washington,West
Tesla,Data Scientist,Data Scientist/Machine Learning Engineer,You should be strong in developing Data Algorithms as well as data pipelines to make recommendations about content delivery.,Seattle,WA, Washington,West
eXcell,Data Scientist,Database Engineer / Data Scientist,The Database Engineer / Data Scientist will be instrumental in collecting data around processes and creating a warehouse for various teams to consume.,Redmond,WA, Washington,West
Solarity Credit Union,Data Analyst,Senior Data Analyst,"If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability…",Yakima,WA, Washington,West
Abstract Tokenization,Data Scientist,Data Scientist,"Experience creating and using advanced machine learning algorithms and techniques- simulation, scenario analysis, modeling, clustering, decision tree learning,…",Seattle,WA, Washington,West
Jobot,Data Scientist,Data Scientist,"Our ideal candidate will come from an industrial Manufacturing environment, have experience with Process Control, Machine Learning, modeling, automation, and…",Spokane,WA, Washington,West
Tesla,Data Scientist,Data Scientist/Machine Learning Engineer,We are looking for a Sr Data Scientist to help develop digital marketing solutions for us.You should be strong in developing Data Algorithms as well as data…,Seattle,WA, Washington,West
eXcell,Data Scientist,Database Engineer / Data Scientist,"We are looking for seasoned engineers with strong passion for customer focused solutions, insight and industry knowledge, and technical expertise who can…",Redmond,WA, Washington,West
BOEING,Data Scientist,Data Scientist,Experience in programming any language such as SQL OR SAS OR Python OR R OR any other.Boeing is a Drug Free Workplace where post offer applicants and employees…,Seattle,WA, Washington,West
Booz Allen Hamilton,Data Scientist,"Data Scientist, Junior","You’ll develop algorithms, write scripts, build predictive analytics, use automation, apply machine learning to turn disparate data points into objective…",Seattle,WA, Washington,West
Microsoft,Data Scientist,Data Scientist,"Python, R, Ruby, node.js, C#, Java, C++, C.If you need assistance and/or a reasonable accommodation due to a disability during the application or the…",Redmond,WA, Washington,West
"Discovery Communications, LLC",Data Scientist,Data Scientist,The Data Scientist will bring their experience and skill to the Data Science and Analytics team and contribute wholly or partly in creating scalable data models…,Bellevue,WA, Washington,West
Allstate,Data Scientist,Data Scientist: Deep Learning & NLP,"In R, Python, Matlab) and deep learning tools (e.g.Advise data scientists and business partners on applying NLP in their work and regularly train them on the…",Bothell,WA, Washington,West
Wish,Data Scientist,Data Scientist,"Apply machine learning techniques to improve Wish’s product and operation.Statistics, machine learning, optimization, and economics.",Seattle,WA, Washington,West
Knowesis Inc.,Data Scientist,Data Scientist I,"Prior experience using statistical software application such R, Tableau, or other data visualization software.Enter and analyze data within government systems.",Lewis McChord,WA, Washington,West
Zillow Group,Data Scientist,"Data Scientist, Zillow Offers",You will serve as a mentor to other Data Scientists on the team and Analysts across the company by leading learning academies and serving as an available…,Seattle,WA, Washington,West
Tredence Inc.,Data Scientist,Data Scientist / Data Analytics,"Our capabilities range from Data Visualization, Data Management to Advanced analytics, Big Data and Machine Learning.SQL - Advanced HIVE SQL (incl.",Seattle,WA, Washington,West
red violet,Data Scientist,Data Scientist,"Degree in Computer Science, Machine Learning, Math, Statistics, Physics, or related field.Experience working with large data sets for data mining, analytics,…",Seattle,WA, Washington,West
TIBCO Software,Data Scientist,Senior Data Scientist,"You will lead technical projects developing analytics deliverables using methods from data mining, machine learning, and statistical modeling.",Seattle,WA, Washington,West
SAP,Data Scientist,Data Scientist,"Seeks a Data Scientist at our Bellevue, WA location to build and deploy Machine Learning solutions.Extract and transform data from Large databases to a form…",Bellevue,WA, Washington,West
"Conceptualeyes, LLC",Data Scientist,Data Scientist – Natural Language Processing,"Degree in a quantitative discipline such as Predictive Analytics, Statistics, Mathematics, or Computer Science with coursework in Machine Learning and Natural…",Seattle,WA, Washington,West
Grab Taxi,Data Scientist,AI Data Scientist,We develop and apply deep learning and machine learning to our large-scale datasets and wide-ranging applications.Get to know the role:,Bellevue,WA, Washington,West
"Amazon.com Services, Inc.",Data Scientist,Data Scientist,"Experience in SQL, R, Python, or another scripting language;Contextual text mining, and application of deep learning to NLP.The ideal candidate will be:",Seattle,WA, Washington,West
"ExtraHop Networks, Inc.",Data Scientist,Intern Data Scientist,"Our breakthrough approach to analytics and machine learning helps our customers investigate threats, ensure the delivery of critical applications, and secure…",Seattle,WA, Washington,West
Apple,Data Scientist,Data Scientist - Experimentation,We're looking for a Data Scientist with a passion for delivering data-informed insights and deep knowledge of testing & experimentation.,Seattle,WA, Washington,West
XLFN Consulting,Data Scientist,"Data Scientist / BI Developer - Python, R, SAS, Power BI (Remote)","Proficiency with Python, R, MySQL, and MS SQL.Experience with and willingness to support project management, Agile and documentation in Jira.",Seattle,WA, Washington,West
Indeed,Data Scientist,Senior Data Scientist,The base salary range below represents the low and high end of the Indeed salary range for this position.You will build and implement machine learning models…,Seattle,WA, Washington,West
